Vehicle_ID,Station_ID,Vehicle_Type,Battery_Capacity_kWh,Manufacturer,Model_Name,Registration_Year,Owner_Type
50001,13295,Electric Scooter,62.3,Tata,Tigor EV,2020,Educational Institution
50002,16287,Electric Scooter,45,Mercedes-Benz,EQS,2021,Municipal Utility
50003,13226,Three-Wheeler,45.6,MG,Comet EV,2025,Taxi Operator
50004,20087,Minivan,54.6,Mahindra,eVerito,2024,Individual
50005,20683,Convertible,51.4,Skoda,Enyaq iV,2023,Fleet
50006,14371,Minivan,64.8,MG,ZS EV,2018,Fleet
50007,28200,Convertible,36.9,Kia,EV6,2018,Ride-Sharing Partner
50008,26940,Luxury Sedan,54.4,Nissan,Ariya,2019,Taxi Operator
50009,21303,Electric Scooter,77.7,Ford,F-150 Lightning,2021,Municipal Utility
50010,17047,Compact SUV,38.8,Honda,Prologue,2024,Rental Agency
50011,13257,Electric Scooter,91.6,Citroën,ë-C3,2023,Ride-Sharing Partner
50012,18646,Compact SUV,35.9,Ford,Mustang Mach-E,2023,Rental Agency
50013,18016,Luxury Sedan,80.5,Hyundai,Ioniq 5,2018,Delivery Service
50014,13882,Minivan,50.1,Hyundai,Kona Electric,2024,Educational Institution
50015,22885,Coupe,66.7,Tata,Punch EV,2020,Rental Agency
50016,17661,Electric Scooter,89.5,Citroën,ë-C3,2022,Taxi Operator
50017,24217,Coupe,66.6,Volkswagen,ID.4,2023,Government
50018,29395,Compact SUV,53.1,Nissan,Leaf,2019,Educational Institution
50019,13596,Coupe,96.5,Nissan,Ariya,2019,Corporate
50020,27272,Crossover,65.5,Hyundai,Ioniq 5,2021,Fleet
50021,24665,Minivan,66.1,Renault,K-ZE,2025,Individual
50022,21330,Minivan,62,Tata,Tigor EV,2021,Educational Institution
50023,18153,Sedan,57.9,Nissan,Ariya,2023,Government
50024,17656,Hatchback,39,Maruti Suzuki,Futuro-e,2022,Corporate
50025,10843,Luxury Sedan,48.7,MG,Comet EV,2024,Corporate
50026,13688,Convertible,56.6,BMW,i4,2023,Taxi Operator
50027,14437,Van,82.7,Mahindra,BE.05,2024,Ride-Sharing Partner
50028,20763,Three-Wheeler,30.7,Audi,e-tron,2025,Corporate
50029,10733,Three-Wheeler,40.6,Hyundai,Ioniq 5,2023,Rental Agency
50030,14700,Crossover,78.5,Jeep,Avenger EV,2024,Municipal Utility
50031,26957,Compact SUV,95.3,Volkswagen,ID.3,2019,Fleet
50032,19786,Convertible,78,Nissan,Ariya,2020,Delivery Service
50033,29793,Compact SUV,80.8,Volvo,C40 Recharge,2023,Educational Institution
50034,10804,Three-Wheeler,62.9,Volvo,C40 Recharge,2025,Rental Agency
50035,29305,Luxury Sedan,53.5,Nissan,Leaf,2021,Ride-Sharing Partner
50036,16006,Pickup,63.7,BYD,e6,2022,Government
50037,26512,Coupe,83.6,BMW,iX,2022,Government
